eventnum,period,away.1,away.2,away.3,away.4,home.1,home.2,home.3,home.4,home.5,home.6,away.5
2,1,202331,203500,203460,201566,203114,1627748,203503,1627763,NA,NA,NA
126,1,2546,203500,203460,201566,203114,1627748,203503,1627763,NA,NA,NA
155,2,203460,202335,101109,203924,203507,203521,1626173,203141,203089,1628391,NA
163,2,203518,202335,101109,203924,203507,203521,1626173,203141,203089,1628391,NA
171,2,203518,202335,101109,203924,203114,203521,1626173,203141,203089,1628391,NA
227,2,203518,202335,101109,203924,203114,203521,203503,203141,203089,1628391,NA
242,2,203460,202335,101109,203924,203114,203521,203503,203141,203089,1628391,NA
268,2,203460,2546,101109,203924,203114,203521,203503,203141,203089,1628391,NA
313,3,202331,2546,203500,203460,203114,203507,1627748,203503,1627763,NA,201566
370,3,202331,2546,203500,203460,203114,203507,203089,203503,1627763,NA,201566
376,3,202331,203924,203500,203460,203114,203507,203089,203503,1627763,NA,201566
409,3,202331,203924,203500,203460,203114,203507,203089,203503,203521,NA,201566
410,3,202331,203924,203500,203518,203114,203507,203089,203503,203521,NA,201566
430,3,202331,203924,203500,203518,203114,203507,203089,203503,203521,NA,101109
431,3,202331,203924,202335,203518,203114,203507,203089,203503,203521,NA,101109
461,3,2546,203924,202335,203518,203114,203507,203089,203503,203521,NA,101109
464,4,2546,202335,101109,203924,203507,203503,203521,203141,203089,NA,203518
489,4,2546,202335,101109,203924,203507,1628425,203521,203141,203089,NA,203518
490,4,2546,202335,101109,203924,1626173,1628425,203521,203141,203089,NA,203518
524,4,2546,202335,101109,203924,1626173,1628425,202732,203141,203089,NA,203518
525,4,2546,202335,101109,203924,1626173,1628425,202732,203141,1628391,NA,203518
538,4,203962,202335,101109,203924,1626173,1628425,202732,203141,1628391,NA,203518
582,4,203962,202335,1628390,203924,1626173,1628425,202732,203141,1628391,NA,203518
604,4,203962,1626177,1628390,203924,1626173,1628425,202732,203141,1628391,NA,203518
618,1,2546,203500,203460,201566,203114,1627748,203507,1627763,NA,NA,NA
619,1,2546,203500,203460,201566,1626173,1627748,203507,1627763,NA,NA,NA
620,1,2546,203500,203460,202335,1626173,1627748,203507,1627763,NA,NA,NA
621,1,2546,101109,203460,202335,1626173,1627748,203507,1627763,NA,NA,NA
624,1,2546,101109,203460,202335,1626173,1627748,203507,203521,NA,NA,NA
626,1,2546,101109,203518,202335,1626173,1627748,203507,203521,NA,NA,NA
642,2,203460,2546,203500,203924,203114,203521,203503,203141,203089,1628391,NA
643,2,203460,201566,203500,203924,203114,203521,203503,203141,203089,1628391,NA
644,2,203460,201566,203500,202331,203114,203521,203503,203141,203089,1628391,NA
646,2,203460,201566,203500,202331,203114,203521,203503,1628391,203089,1628391,NA
649,2,203460,201566,203500,202331,203114,1627748,203503,1628391,203089,1628391,NA
650,2,203460,201566,203500,202331,203114,1627748,203503,1628391,1627763,1628391,NA
656,1,2546,101109,203460,202335,1626173,1627748,203141,203521,NA,NA,NA
657,1,2546,101109,203460,202335,1626173,203089,203141,203521,NA,NA,NA
658,1,203924,101109,203460,202335,1626173,203089,203141,203521,NA,NA,NA
